section_id,category_id,category_title,title,target_path,focus
69,10,"Product, Server, and Operations","CLI, Admin API, Diagnostics, Health, Metrics, Logs, and Traces",10_Product_Server_and_Operations/69_CLI_Admin_API_Diagnostics_Health_Metrics_Logs_and_Traces,"Define operator commands and endpoints for inventory, build information, models, plans, links, ranks, sessions, cache, benchmarks, tuning, health, recovery, and support bundles. Specify metric names, labels, latency histograms, structured logs, trace correlation across hosts, privacy redaction, and actionable diagnostics."
70,10,"Product, Server, and Operations","Packaging, systemd, Containers, Deployment, and Cold-Boot Procedure",10_Product_Server_and_Operations/70_Packaging_systemd_Containers_Deployment_and_Cold_Boot_Procedure,"Design installation artifacts, native packages, self-contained runtimes, optional containers, kernel prerequisites, system users, directories, permissions, systemd units, dependency ordering, network and USB4 setup, service discovery, startup health gates, model preload, cache recovery, uninstallation, and fully reproducible cold boot."
71,10,"Product, Server, and Operations","Security, Trust Boundaries, Permissions, Local Network, and Secrets",10_Product_Server_and_Operations/71_Security_Trust_Boundaries_Permissions_Local_Network_and_Secrets,"Develop a threat model for two physically connected hosts and local clients. Cover API authentication, Unix permissions, link trust, optional transport authentication or encryption, cache privacy, multi-user isolation, malicious model files, path traversal, RPC attack surface, kernel privileges, supply chain, secrets, logs, and secure defaults."
72,10,"Product, Server, and Operations","Upgrades, Rollbacks, Protocol and Cache Migration, Backup, and Runbooks",10_Product_Server_and_Operations/72_Upgrades_Rollbacks_Protocol_and_Cache_Migration_Backup_and_Runbooks,"Define version compatibility, rolling versus coordinated upgrades, protocol negotiation, model and plan migration, cache format migration, backup scope, rollback, failed-upgrade recovery, data retention, support bundles, incident runbooks, link replacement, disk replacement, worker rebuild, and disaster recovery."
73,11,Verification and Performance,"Benchmark Methodology, Terminology, Experimental Controls, and Data Schema",11_Verification_and_Performance/73_Benchmark_Methodology_Terminology_Experimental_Controls_and_Data_Schema,"Define TTFT, prompt throughput, generation throughput, inter-token latency, request latency, acceptance rate, cache hit metrics, collective latency, utilization, power, and tail percentiles. Specify warmup, repetitions, confidence intervals, matched settings, model hashes, prompt sets, sampling, environmental controls, raw-data schema, and reporting rules."
74,11,Verification and Performance,Single-Node HIP and Vulkan Baseline Matrix,11_Verification_and_Performance/74_Single_Node_HIP_and_Vulkan_Baseline_Matrix,"Create the baseline plan across both machines, model families, quants, contexts, batch sizes, KV types, FlashAttention, MTP settings, power modes, and backends. Require prompt and decode breakdowns, TTFT, p50/p95/p99 inter-token latency, memory use, quality checks, thermals, and reproducible command lines."
75,11,Verification and Performance,Fabric Microbenchmarks and GPU-to-Peer-GPU End-to-End Tests,11_Verification_and_Performance/75_Fabric_Microbenchmarks_and_GPU_to_Peer_GPU_End_to_End_Tests,"Define tests for each cable and both cables at relevant message sizes and queue depths, including RTT percentiles, unidirectional and bidirectional bandwidth, CPU cost, interrupts, errors, and contention. Include the decisive GPU-write to peer-GPU-consume path with synchronization and concurrent decode/NVMe workloads."
76,11,Verification and Performance,Distributed Mode Benchmark Matrix and Break-Even Analysis,11_Verification_and_Performance/76_Distributed_Mode_Benchmark_Matrix_and_Break_Even_Analysis,"Benchmark replication, native MTP, remote draft speculation, tensor parallelism, pipeline parallelism, and MoE hybrid plans using matched models and workloads. Measure compute versus communication, scaling, pipeline bubbles, concurrency, latency tails, failure degradation, and derive model-specific break-even thresholds with uncertainty margins."
77,11,Verification and Performance,"HaloKV Restore, Writeback, Hit-Rate, and Endurance Benchmarks",11_Verification_and_Performance/77_HaloKV_Restore_Writeback_Hit_Rate_and_Endurance_Benchmarks,"Define cache tests for system prefixes, conversation continuations, page sizes, lookup, cold/warm restore, parallel rank reads, dirty-tail writeback, durability modes, garbage collection, disk pressure, concurrent decode, long contexts, hit-rate traces, write amplification, power loss, and SSD endurance."
78,11,Verification and Performance,"Correctness, Regression, Determinism, and Model Quality Evaluation",11_Verification_and_Performance/78_Correctness_Regression_Determinism_and_Model_Quality_Evaluation,"Design unit, integration, golden-output, cross-backend, cross-rank, state-restore, quantization, and protocol tests. Define numerical tolerances, deterministic seeds, logits comparison, long-context retrieval, perplexity or task suites, code, JSON, tool calling, grammar, MTP acceptance, recurrent continuation, and failure-on-mismatch behavior."
79,11,Verification and Performance,"Stress, Soak, Long-Context, Multi-Session, Power, and Thermal Testing",11_Verification_and_Performance/79_Stress_Soak_Long_Context_Multi_Session_Power_and_Thermal_Testing,"Define hours-long and day-long workloads for memory leaks, queue stability, cache churn, link jitter, thermal equilibrium, clock throttling, mixed prompt/decode traffic, maximum context, multi-user fairness, cancellation storms, model switching, NVMe saturation, and performance drift at each power profile."
80,11,Verification and Performance,"Fault Injection: Cable Pulls, Restarts, OOM, Disk-Full, and Corruption",11_Verification_and_Performance/80_Fault_Injection_Cable_Pulls_Restarts_OOM_Disk_Full_and_Corruption,"Create a systematic failure matrix covering each cable, both cables, worker and coordinator crashes, process kill, GPU reset, OOM, allocation failure, stale versions, malformed messages, checksum failures, torn cache commits, disk-full, read-only filesystem, NVMe errors, USB4 retraining, and recovery assertions."
81,11,Verification and Performance,"CI Matrix, Release Gates, Reproducibility, and Performance Regression Policy",11_Verification_and_Performance/81_CI_Matrix_Release_Gates_Reproducibility_and_Performance_Regression_Policy,"Define fast per-commit tests, nightly hardware tests, model smoke tests, kernel/backend matrices, format compatibility, cache migrations, distributed checks, quality gates, security scans, artifact retention, benchmark variance policy, regression thresholds, release candidate qualification, and signed build provenance."
82,12,Project Execution and Governance,"Implementation Roadmap, Epics, Dependencies, and Exit Criteria",12_Project_Execution_and_Governance/82_Implementation_Roadmap_Epics_Dependencies_and_Exit_Criteria,"Convert the architecture into phases, epics, work packages, dependencies, prototypes, integration milestones, hardware gates, documentation deliverables, and measurable exit criteria. Identify critical path, parallelizable work, rollback points, required expertise, and the minimum useful product at each stage."
83,12,Project Execution and Governance,"Risk Register, Failure Modes, Mitigations, and Contingencies",12_Project_Execution_and_Governance/83_Risk_Register_Failure_Modes_Mitigations_and_Contingencies,"Build a living technical and project risk register covering USB4 assumptions, port independence, driver maturity, backend performance, fork drift, model correctness, memory pressure, storage endurance, thermal limits, kernel patches, staffing, schedule, security, and upstream changes. Score likelihood, impact, detectability, mitigation, trigger, and fallback."
84,12,Project Execution and Governance,"On-Machine Research Plan, Experiment Cards, and Lab Notebook",12_Project_Execution_and_Governance/84_On_Machine_Research_Plan_Experiment_Cards_and_Lab_Notebook,"Define the sequence of physical measurements required before architecture choices are finalized. Provide standardized experiment cards with hypothesis, setup, commands, environment snapshot, variables, controls, raw outputs, analysis, conclusion, confidence, follow-up, and links to decisions. Include a two-host synchronized lab notebook structure."
85,12,Project Execution and Governance,"Internet Research Backlog, Upstream Watch, and Knowledge Freshness",12_Project_Execution_and_Governance/85_Internet_Research_Backlog_Upstream_Watch_and_Knowledge_Freshness,"Create a prioritized research backlog for Linux USB4, ROCm, Mesa, llama.cpp, ROCmFPX, CachyLLama, RCCL, io_uring, model architectures, and hardware errata. Define trusted feeds, watch queries, version-check cadence, stale-page detection, revalidation triggers, and how changed upstream facts propagate into decisions."
86,12,Project Execution and Governance,"Issues, Labels, Milestones, ADRs, Code Review, and Contribution Process",12_Project_Execution_and_Governance/86_Issues_Labels_Milestones_ADRs_Code_Review_and_Contribution_Process,"Design project-management conventions for issues, labels, milestones, pull requests, ADRs, experiments, performance claims, review ownership, security reports, release notes, changelogs, contributor setup, coding-agent tasks, documentation updates, and definition of done. Ensure every code change can be traced to requirements, evidence, and tests."
