id,category,feature,behavior,implementation_files,source_repositories,source_commits,dependencies,license,maturity,evidence,evidence_urls,decision,portability,target_overlap,rationale,risks,confidence
F-037,Slot affinity and user isolation,Anthropic metadata user hint,Maps metadata.user_id from Anthropic-style requests into the same scheduling identity field.,tools/server/server-task.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,Anthropic request converter | task metadata,MIT,M2,E-081 | E-087,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md,RETAIN,Medium,ROCmFPX may retain Anthropic compatibility from its llama.cpp base.,"Keep protocol parsing as a hint, then map through the same authenticated principal layer as OpenAI requests.",Protocol parity must not create different authorization rules.,High
F-038,Slot affinity and user isolation,User-ID validation,Validates length and allowed characters before using an identifier in scheduling or filesystem namespace selection.,tools/server/server-task.cpp | docs/development/user-isolation-design.md,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,validation function | request parser,MIT,M2,E-080 | E-081,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,RETAIN,High,ROCmFPX should validate any external label before logging or lookup.,Retain strict syntax validation but store a keyed hash/opaque internal ID instead of the raw value.,Validation prevents traversal but not identity spoofing.,High
F-039,Slot affinity and user isolation,Per-user concurrent request cap,Rejects or defers requests when a non-empty user identity reaches the configured in-flight limit.,common/common.h | common/arg.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,active-user counter | server slots | HTTP admission,MIT,M2,E-022 | E-023 | E-082 | E-083 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REDESIGN,High,ROCmFPX has global slot limits but no assessed tenant quota.,"Implement one authoritative scheduler quota keyed by authenticated tenant, with atomic admission and release.",Pinned code duplicates checks at HTTP and allocator layers; races and accounting drift are possible.,High
F-040,Slot affinity and user isolation,Anonymous-bucket concurrency policy,"Documentation describes a shared anonymous bucket, but the pinned code explicitly exempts empty user IDs from per-user accounting.",tools/server/server-context.cpp | tools/server/README.md | docs/development/user-isolation-design.md,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,active-user counter | documentation,MIT,M1,E-080 | E-084 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REJECT,High,ROCmFPX should not inherit the contradiction.,Define an explicit unauthenticated/global policy; production multi-tenant deployments should require authentication.,Anonymous traffic can consume all global slots.,High
F-041,Slot affinity and user isolation,Same-user slot affinity,Prefers a least-recently-used slot previously associated with the same user to improve reuse.,tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,slot user_id field | LRU timestamps,MIT,M2,E-082 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REDESIGN,High,ROCmFPX already chooses slots using prompt similarity and availability.,"Combine authorization, user affinity, and prefix score in a single eligibility/ranking pass; never select cross-tenant state.",Separate selection passes can accidentally prioritize prefix reuse before isolation.,High
F-042,Slot affinity and user isolation,User-scoped persistent cache directories,Creates persistent cache wrappers and paths under a user namespace.,tools/server/server-context-page-manager.cpp | common/kv-ssd-cache.h,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,validated identity | filesystem,MIT,M1,E-061 | E-080,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/docs/development/user-isolation-design.md,REDESIGN,High,"ROCmFPX has private process directories, not persistent tenant namespaces.","Namespace by authenticated tenant hash and model fingerprint, with per-tenant owner/key policy.",Raw IDs in paths leak identity and allow spoofed cache access.,High
F-043,Slot affinity and user isolation,Per-user cache statistics,"The architecture has user cache maps, but pinned get_stats aggregation omits them.",tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,cache maps | statistics aggregation,MIT,M1,E-060 | E-064,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,REJECT,High,ROCmFPX has cache counters but no assessed per-tenant view.,Do not port the omission; define aggregate and tenant-scoped metrics with cardinality controls.,Operational dashboards would underreport persistent usage.,High
F-044,Slot affinity and user isolation,Per-user tier aging on turn completion,The pinned turn-completion path advances anonymous caches but omits user cache wrappers.,tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,turn counter | cache maps,MIT,M1,E-064,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,REJECT,High,No direct target equivalent.,Centralize all cache instances in one registry and iterate one lifecycle interface.,User entries can remain hot indefinitely or avoid intended eviction.,High
F-045,Slot affinity and user isolation,Raw user identifiers in logs,Logs scheduling/rate-limit decisions with the unredacted user identifier.,tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,server logger,MIT,M1,E-086,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REJECT,High,ROCmFPX logs are shared operational output.,"Log a stable keyed pseudonym, not raw identity; keep raw values out of metrics labels.",PII/secrets leakage and high-cardinality observability.,High
F-046,Slot affinity and user isolation,"Identity as routing metadata, not authentication",The user identifier is accepted from the request body and is not itself a credential or verified principal.,tools/server/server-task.cpp | tools/server/README.md | common/arg.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,API key/TLS optionally elsewhere | request metadata,MIT,M1,E-081 | E-087 | E-103,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp,REDESIGN,High,ROCmFPX supports API keys/TLS but needs explicit identity binding.,Resolve tenant identity in authenticated middleware and ignore/validate client hints according to gateway policy.,Using body metadata as a security boundary enables cache theft.,High
F-047,Slot affinity and user isolation,Unified cache and slot ownership lifecycle,"Ownership state is currently distributed across task parsing, slot counters, slot user fields, and separate page-manager maps.",tools/server/server-task.cpp | tools/server/server-context.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,scheduler | cache registry | request identity,MIT,M1,E-060 | E-081 | E-082 | E-085,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REDESIGN,Medium,ROCmFPX has its own scheduler and cache engine.,"Introduce one TenantContext/CacheScope object passed through admission, selection, restore, save, metrics, and release.",Distributed accounting is difficult to audit and test.,High
F-048,Cache administration,SSD cache CLI and environment controls,"Exposes path, tier windows/budgets, checkpoint limits, system-prompt limits, retention, fsync, and concurrency settings.",common/common.h | common/arg.cpp | tools/server/README.md,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,CLI parser | environment variables,MIT,M2,E-022 | E-023 | E-024,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/common.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/README.md,REDESIGN,High,ROCmFPX currently exposes --cache-disk and --cache-disk-limit.,"Extend target-native naming with explicit persistent-mode, durability, retention, and namespace controls; preserve backward compatibility.","Cachy source, docs, and parent runner use conflicting defaults.",High
F-049,Cache administration,Parent profile overrides,llama-ai supplies operational defaults that differ from component defaults and selects cache use by model/hardware profile.,llama-run.sh,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,shell environment | model metadata probe | hardware detector,GPL-3.0,M2,E-005 | E-006 | E-007 | E-118,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh,REDESIGN,High,ROCmFPX has build/run scripts but should not directly import GPL shell code into its MIT tree.,Re-express useful profile rules in an MIT-compatible configuration layer or external GPL deployment project.,License incompatibility for direct incorporation; default drift.,High
F-050,Cache administration,Retention by unused days,Prunes cache entries not used within a configured number of days.,common/kv-ssd-system-cache.cpp | common/kv-ssd-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,wall clock | last-access metadata,MIT,M2,E-037 | E-053,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,RETAIN,High,ROCmFPX currently evicts by byte pressure and run lifetime.,Add optional age eviction to persistent mode with monotonic/validated timestamps and dry-run reporting.,Clock rollback and unreadable metadata.,High
F-051,Cache administration,Conversation-count eviction,Deletes an old conversation cache directory when the configured conversation limit is reached.,tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,directory mtimes | filesystem removal,MIT,M1,E-065,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp,REDESIGN,High,ROCmFPX uses byte-bounded LRU entries.,Use manifest-backed LRU/bytes per tenant; do not choose victims solely by directory mtime.,Separate user/anonymous limits and non-atomic deletion.,High
F-052,Cache administration,Startup discovery and cleanup,Discovers existing persistent entries at startup; malformed or expired entries can be skipped or removed.,common/kv-ssd-cache.cpp | common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,directory scan | metadata parser,MIT,M2,E-031 | E-051 | E-053,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,REDESIGN,High,ROCmFPX already cleans stale private run directories using ownership markers and locks.,"Combine target ownership/lock safety with a persistent manifest, quarantine, bounded reconciliation, and schema migration.",Concurrent instances and partial entries need clear ownership.,High
F-053,Cache administration,Administrative cache API,"No dedicated HTTP endpoint for listing, inspecting, pruning, or invalidating automatic SSD cache entries was identified.",tools/server/server.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,HTTP route table,MIT,M1,E-090 | E-091,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,REDESIGN,Medium,ROCmFPX likewise exposes metrics/slots rather than a persistent-cache admin API.,"Add authenticated inspect/prune/invalidate endpoints or an offline admin CLI, with tenant scoping and dry-run.",Administrative APIs can expose prompt metadata and become a destructive control surface.,Medium
F-054,Cache administration,Cache statistics API surface,"Cache internals track hits, misses, bytes, tiers, and restore timing, but complete user-scoped aggregation is not wired into the standard metrics endpoint.",common/kv-ssd-cache.h | tools/server/server-context-page-manager.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,cache stats | Prometheus renderer,MIT,M1,E-030 | E-064 | E-092 | E-093,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,REDESIGN,High,"ROCmFPX already tracks disk saves, loads, evictions, failures, and prompt cache hits in logs/timings.",Expose low-cardinality cache counters and gauges from one target cache engine.,Metrics cardinality and undercounting.,High
F-055,Cache administration,Cache invalidation on compatibility change,Compatibility checks cause old state to be rejected when model/cache identity changes.,common/kv-ssd-cache.cpp | common/kv-ssd-system-cache.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,compatibility fingerprint,MIT,M2,E-038 | E-052,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-system-cache.cpp,RETAIN,High,ROCmFPX model formats and MTP state evolve rapidly.,Retain fail-closed rejection and add explicit invalidate/migrate tooling keyed by exact model fingerprint.,Rejected files can consume disk indefinitely without cleanup.,High
F-056,Cache administration,Standalone asynchronous KV page-manager prototype,A second hot/warm/cold page-manager implementation includes asynchronous writeback concepts but is not linked into the active common library.,common/kv_page_manager.h | common/kv_page_manager.cpp | test_kv_page_manager.cpp | common/CMakeLists.txt,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,worker thread | page table | filesystem,MIT,M0,E-072 | E-073 | E-074 | E-075,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.h | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv_page_manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/test_kv_page_manager.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/CMakeLists.txt,REJECT,High,ROCmFPX already has a working prompt cache engine.,Do not port this duplicate path. Extract only independently valuable test ideas after verifying semantics.,"Unbuilt code, inconsistent size comments/literals, duplicate architecture.",High
F-057,Model lifecycle,Router-managed child model processes,Runs each loaded model in a child llama-server process behind a router and proxies requests to the selected child.,tools/server/server-models.cpp | tools/server/server.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,sheredom/subprocess | loopback HTTP | model presets,MIT,M2,E-094 | E-105,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp,RETAIN,Medium,ROCmFPX inherits modern llama.cpp router capabilities or can reconcile against them.,Retain upstream/target router implementation rather than transplanting an older fork copy.,Router mode is explicitly experimental and unsuitable for untrusted direct exposure.,High
F-058,Model lifecycle,Model load and unload API,Exposes explicit model load and unload operations through JSON endpoints.,tools/server/server-models.cpp | tools/server/server.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,router mode | child process manager,MIT,M2,E-095 | E-096,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp,RETAIN,High,ROCmFPX's current base may already contain equivalent model routes.,"Use target-native routes and apply authentication, authorization, resource quotas, and audit logging.",Loading arbitrary presets can execute resource-heavy or unsafe configurations.,High
F-059,Model lifecycle,Model autoload on first routed request,Optionally starts an unloaded configured model when a request names it.,tools/server/server-models.cpp | common/common.h | common/arg.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,model catalog | child process manager | HTTP proxy,MIT,M2,E-094 | E-103,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/arg.cpp,RETAIN,Medium,ROCmFPX documents model router controls in its inherited server.,Retain behind an explicit policy and admission controller.,Cold-start latency and denial-of-service by model thrashing.,High
F-060,Model lifecycle,Maximum loaded-model count with LRU unload,Caps active child models and unloads the least recently used model before loading another.,tools/server/server-models.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,last-used timestamps | child process lifecycle,MIT,M2,E-094,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp,RETAIN,High,Applicable to ROCmFPX where large quantized models compete for UMA/VRAM.,Retain target-native LRU but make memory pressure and pinned models first-class inputs.,Request-level recency alone may evict an expensive or pinned model.,High
F-061,Model lifecycle,Model preset reload,"Reloads model definitions, updates metadata, autoloads newly configured models, and broadcasts a lifecycle event.",tools/server/server-models.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,preset loader | model catalog | SSE,MIT,M2,E-106,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp,RETAIN,Medium,Useful for ROCmFPX model presets and quant variants.,Retain with schema validation and atomic catalog swap.,Partial reloads and stale child parameters.,High
F-062,Model lifecycle,Local and cached model discovery,"Loads model presets from cache, a configured models directory, and preset sources.",tools/server/server-models.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,filesystem | preset parser | model metadata,MIT,M2,E-094 | E-105,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-models.cpp,RETAIN,Medium,ROCmFPX users manage many quantized variants.,Keep target-native discovery with explicit trust boundaries and allowlisted roots.,Untrusted presets and path traversal.,High
F-063,Model lifecycle,Hugging Face GGUF discovery and split download,The parent launcher resolves repository files and downloads complete or split GGUF artifacts using available Hugging Face tools.,llama-run.sh,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,hf CLI or huggingface_hub | network | disk space,GPL-3.0,M2,E-008,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh,REDESIGN,High,ROCmFPX has its own distribution/build workflows.,Implement or document an MIT-compatible downloader outside the inference core; verify checksums and free space.,Directly copying parent shell code would import GPL obligations; remote artifacts are untrusted input.,High
F-064,Model lifecycle,Model-class profile selection,"The parent inspects GGUF metadata to choose dense, MoE, recurrent/SSM, and hardware-specific launch profiles.",llama-run.sh | scripts/detect-gpu.sh,fewtarius/llama-ai,1017f3dfdce3ca2b06aa9007b23295db3bb35722,GGUF metadata | shell parsing | hardware profile,GPL-3.0,M2,E-007 | E-011 | E-118,https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh | https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/scripts/detect-gpu.sh | https://github.com/fewtarius/llama-ai/blob/1017f3dfdce3ca2b06aa9007b23295db3bb35722/llama-run.sh,REDESIGN,High,"ROCmFPX has multiple quant families, backends, MTP paths, and Strix profiles.","Reimplement as a declarative, tested preset resolver in the target or an external deployment package.",Heuristic metadata scanning from the first file bytes is brittle.,High
F-065,Model lifecycle,Cache scope tied to model compatibility,"Persistent states are accepted only for a compatible model/cache fingerprint, naturally invalidating reuse after incompatible model changes.",common/kv-ssd-cache.cpp | tools/server/server-context-page-manager.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,model fingerprint | cache namespace,MIT,M2,E-038 | E-060,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/common/kv-ssd-cache.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context-page-manager.h,RETAIN,High,ROCmFPX frequently changes quant type and MTP layout.,"Namespace cache roots by exact model fingerprint and runtime state ABI, not just human model alias.",Aliases can point to different files over time.,High
F-066,Server APIs,OpenAI chat and completions compatibility,"Serves OpenAI-compatible chat-completions and completions endpoints, including streaming.",tools/server/server.cpp | tools/server/server-context.cpp | tools/server/server-task.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,HTTP server | JSON | chat templates,MIT,M3,E-090 | E-102 | E-093,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,RETAIN,High,ROCmFPX is built on a newer llama.cpp server.,Keep target-native API behavior and add cache/user extensions through namespaced fields or headers.,Compatibility fields evolve; avoid fork-only semantics without versioning.,High
F-067,Server APIs,OpenAI Responses compatibility,Converts Responses API requests to chat-completion internals and emits Responses-style events.,tools/server/server.cpp | tools/server/server-context.cpp | tools/server/server-task.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,request conversion | SSE event formatter,MIT,M2,E-090 | E-102 | E-093,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,RETAIN,High,ROCmFPX's target base already includes modern response formatting.,Reconcile with target rather than cherry-picking fork code.,Event compatibility is sensitive to upstream changes.,High
F-068,Server APIs,Anthropic Messages compatibility,Converts Anthropic Messages requests to internal chat completions and returns Anthropic-formatted streaming/non-streaming responses.,tools/server/server.cpp | tools/server/server-context.cpp | tools/server/server-task.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,protocol converter | SSE,MIT,M2,E-090 | E-102 | E-081,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-task.cpp,RETAIN,Medium,ROCmFPX may already carry this upstream surface.,Retain target-native implementation; map metadata.user_id only through trusted identity policy.,Protocol conversion can lose unsupported semantics.,High
F-069,Server APIs,Legacy completion and infill endpoints,Exposes native completion and fill-in-the-middle operations in addition to OpenAI-compatible endpoints.,tools/server/server.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,model FIM tokens | prompt formatter,MIT,M3,E-090 | E-102,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp,RETAIN,High,Useful for coding models quantized by ROCmFPX.,Keep target-native support and capability checks.,FIM token assumptions are model-specific.,High
F-070,Server APIs,Embeddings and reranking endpoints,Supports embedding generation and rank-model reranking when the server is started in the corresponding mode.,tools/server/server.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,embedding/rank model | pooling configuration,MIT,M3,E-090 | E-102,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp,RETAIN,High,Independent of cache port and likely already present in target.,Retain from target base.,Persistent generation-state caching does not apply unchanged to embedding/rank workloads.,High
F-071,Server APIs,Audio transcription compatibility,Maps supported audio transcription requests through multimodal chat processing.,tools/server/server.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,mtmd | audio-capable model | multipart HTTP,MIT,M2,E-090 | E-102,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp,RETAIN,Medium,ROCmFPX model quantization can apply to multimodal-capable models if kernels/types support them.,Keep target-native endpoint; exclude multimodal prompt states from persistent cache until deterministic state identity is defined.,Target disk cache explicitly skips multimodal token states.,High
F-072,Server APIs,Slot state administration API,Provides GET slot status and POST save/restore/erase operations for a selected slot.,tools/server/server.cpp | tools/server/server-context.cpp,fewtarius/CachyLLama,6be745998f568e379ea197fcf827baec73ff9940,slot endpoint enablement | slot-save path,MIT,M3,E-090 | E-091,https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server.cpp | https://github.com/fewtarius/CachyLLama/blob/6be745998f568e379ea197fcf827baec73ff9940/tools/server/server-context.cpp,RETAIN,High,Likely inherited by ROCmFPX.,Keep with authentication and distinguish manual slot files from automatic persistent cache entries.,Manual restore can overwrite active state.,High
